ID,Info,en,et,fi,sv
document.title,,ES1TP,ES1TP,,
gamut.locale.et,,Estonian,Eesti keel,,,
gamut.locale.en,,English,Inglise keel,,,
gamut.article.pagelinks.forms.title,,Links,Lingid,Links,,
gamut.buttons.serviceSelect,,Select topic,Valige teema,,,
gamut.buttons.search,,Search,Otsing,,,
gamut.search.popover.title,,Search,Otsing,,,
gamut.search.popover.allLinks,,All links,Kõik lingid,All links,,,
gamut.search.popover.allPhones,,All phone numbers,Kõik telefoninumbrid,,,
gamut.search.popover.allForms,,All exams,Kõik eksamid,,,
gamut.search.popover.allServices,,All subjects,Kõik ained,,,
gamut.search.popover.input.placeholder,,Search,Otsing,,,
gamut.search.results.serviceLinks,,Study material,Õppematerjal,,,
gamut.search.results.allResults,,All results,Kõik tulemused,,,
gamut.search.results.noResults,,No results,Tulemusi pole,,,
gamut.noValueIndicatorColon,,:,:,,,

footer.column2.title,,Become a radio amateur!,Hakka raadioamatööriks!,Become a radio amateur!,,
footer.column3.title,,Links,Lingid,Links,,
footer.column4.title,,Contact,Kontakti,Contact,,,
footer.column2.become.amateur,,How do I get started?,Kuidas saada raadioamatööriks?,How do I get started?,,


footer.column3.link.erau,,Estonian Amateur Radio League,Eesti Raadioamatööride Ühing,ERAU,
footer.column3.link.es1tp.qrz,,QRZ ES1TP,QRZ ES1TP,QRZ ES1TP,,
footer.column3.link.tpt,,Tallinn Polytechnic School,Tallinna Polütehnikum,Tallinn Polytechnic School,

footer.column4.email,,es1mw@erau.ee,es1mw@erau.ee,es1mw@erau.ee,
footer.column4.address1,,Tallinn Polytechnic School,Tallinna Polütehnikum,Tallinn Polytechnic School,
footer.column4.address2,,Pärnu mnt 57,Pärnu mnt 57,Pärnu mnt 57,
footer.column4.postalCode,,10135 Tallinn,10135 Tallinn,10135 Tallinn,

events.none,,No events found,Sündmust ei leitud,No events found,,
events.filter,,Filter date range,Filtreeri kuupäevavahemik,Filter date range,,
events.today,,Today,Täna,Today,,
events.nextSevenDays,,Next 7 days,Järgmised 7 päeva,Next 7 days,,
events.nextFourteenDays,,Next 14 days,Järgmised 14 päeva,Next 14 days,,
events.nextThirtyDays,,Next 30 days,Järgmised 30 päeva,Next 30 days,,

questionnaire.subject.select,,Select exam subject,Valige eksami teema,Select exam subject
questionnaire-results.title,,Exam results: correct: {correct}/{total} Exam percentage: {perc}%,Eksamitulemused õige: {correct}/{total} Eksami protsent: {perc}%,Exam results correct:{correct}/{total} Exam percentage: {perc}%,,
questionnaire-header.all,,All questions,Kõik küsimused,All questions,,
questionnaire-header.reset,,Reset,Lähtestada,Reset,,
questionnaire-header.shuffle,,Shuffle(3),Juhuslikud(3),Shuffle(3),,
questionnaire-header.shuffle.big,,Shuffle(25),Juhuslikud(25),Shuffle(25),,

buttons.scroll-to-top,,Scroll to top,Kerige üles,Scroll to top,,,
buttons.cancel,,Cancel,Tühista,Cancel,,


